OptimiazationAlgorithm;TestFunction;NumberOfSearchedParameters;T;N;FoundMinimum;StandardDeviationOfFoundMinimum;ObjectiveFunctionValue;StandardDeviationOfObjectiveFunctionValue;NumberOfObjectiveFunctionCalls
Snake Optimization;Network voltage;3;10;10;"(1,00607; 1,09314; 1,07322)";"(0,06766; 0,08861; 0,07828)";1,07162;0,70365;110
Snake Optimization;Network voltage;3;10;20;"(1,06562; 1,06559; 1,04207)";"(0,06430; 0,07166; 0,07040)";0,34192;1,20814;220
Snake Optimization;Network voltage;3;10;30;"(1,06906; 1,05222; 1,05996)";"(0,02438; 0,01911; 0,01852)";0,16741;0,39108;330
Snake Optimization;Network voltage;3;10;40;"(1,05727; 1,06088; 1,05127)";"(0,02902; 0,04275; 0,03910)";0,23149;0,55876;440
Snake Optimization;Network voltage;3;10;50;"(1,06689; 1,04355; 1,06865)";"(0,03249; 0,03387; 0,03091)";0,29808;0,42738;550
Snake Optimization;Network voltage;3;20;10;"(1,03214; 1,03676; 1,10608)";"(0,11118; 0,10731; 0,12659)";0,94005;0,9377;210
Snake Optimization;Network voltage;3;20;20;"(1,06321; 1,06213; 1,05829)";"(0,15853; 0,16506; 0,11070)";0,07578;1,39785;420
Snake Optimization;Network voltage;3;20;30;"(1,05894; 1,06765; 1,05646)";"(0,02626; 0,01041; 0,02245)";0,15867;0,41055;630
Snake Optimization;Network voltage;3;20;40;"(1,05924; 1,05892; 1,06091)";"(0,02171; 0,01627; 0,01315)";0,06451;0,3454;840
Snake Optimization;Network voltage;3;20;50;"(1,06386; 1,05813; 1,06132)";"(0,00801; 0,01712; 0,01739)";0,06904;0,4323;1050
Snake Optimization;Network voltage;3;30;10;"(1,06406; 1,06309; 1,05854)";"(0,05273; 0,08096; 0,03928)";0,10636;1,20989;310
Snake Optimization;Network voltage;3;30;20;"(1,05957; 1,06105; 1,06617)";"(0,05815; 0,04012; 0,02606)";0,17545;0,86514;620
Snake Optimization;Network voltage;3;30;30;"(1,06246; 1,06008; 1,05988)";"(0,00616; 0,00984; 0,00741)";0,03131;0,16529;930
Snake Optimization;Network voltage;3;30;40;"(1,06009; 1,05996; 1,05902)";"(0,00158; 0,00162; 0,00335)";0,03825;0,03395;1240
Snake Optimization;Network voltage;3;30;50;"(1,06246; 1,05937; 1,05875)";"(0,00413; 0,00315; 0,00349)";0,01726;0,08769;1550
Snake Optimization;Network voltage;3;40;10;"(1,06375; 1,05948; 1,05699)";"(0,07224; 0,03717; 0,05771)";0,04794;0,91673;410
Snake Optimization;Network voltage;3;40;20;"(1,06281; 1,05986; 1,05812)";"(0,02140; 0,05126; 0,03362)";0,0278;0,77728;820
Snake Optimization;Network voltage;3;40;30;"(1,06159; 1,06019; 1,05866)";"(0,00566; 0,00280; 0,00746)";0,02125;0,14363;1230
Snake Optimization;Network voltage;3;40;40;"(1,06184; 1,05950; 1,05888)";"(0,00721; 0,00655; 0,00353)";0,01399;0,16918;1640
Snake Optimization;Network voltage;3;40;50;"(1,06199; 1,05921; 1,05937)";"(0,00103; 0,00101; 0,00108)";0,01107;0,01629;2050
Snake Optimization;Network voltage;3;50;10;"(1,06188; 1,06029; 1,05875)";"(0,06173; 0,05933; 0,04341)";0,02345;0,92072;510
Snake Optimization;Network voltage;3;50;20;"(1,06252; 1,05863; 1,05945)";"(0,01847; 0,01586; 0,00842)";0,0189;0,36898;1020
Snake Optimization;Network voltage;3;50;30;"(1,06225; 1,05868; 1,05934)";"(0,00192; 0,00167; 0,00087)";0,01562;0,03434;1530
Snake Optimization;Network voltage;3;50;40;"(1,06199; 1,05909; 1,05912)";"(0,00132; 0,00079; 0,00077)";0,00963;0,01642;2040
Snake Optimization;Network voltage;3;50;50;"(1,06201; 1,05917; 1,05922)";"(0,00109; 0,00069; 0,00041)";0,00914;0,01618;2550
